Area_Type,Availability,Location,Size,Society Name,Total_Sqft,No of Bathroom,No of Balcony,Price in Lakhs,Price per sqft
Super built-up  Area,Ready To Move,Begur,4 BHK,Prntsrt,1664,4,3,65,3906
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Maerar ,1850,3,3,150,8108
Super built-up  Area,Ready To Move,Panathur,2 BHK,Vaesh T,1438,2,3,100,6954
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,MaisePa,1560,3,3,115,7372
Super built-up  Area,18-Apr,Yelahanka,2 BHK,,1350,2,1,55.55,4115
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3,3,67,4323
Super built-up  Area,18-Apr,Malleshpalya,2 BHK,,1140,2,2,46.5,4079
Plot  Area,Ready To Move,Srirampura,5 BHK,,1200,5,2,180,15000
Super built-up  Area,18-Dec,Kodathi,2 BHK,,850,2,2,27,3176
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1280,2,2,75,5859
Built-up  Area,Ready To Move,Munnekollal,2 BHK,,1170,2,2,52,4444
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113,2,1,51,4582
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1385,2,1,83.09,5999
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,65,5762
Plot  Area,Ready To Move,Marathahalli,2 BHK,,1200,2,2,128,10667
Plot  Area,Ready To Move,Akshaya Vana,4 BHK,,1200,4,3,165,13750
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3,2,415,17364
Plot  Area,Ready To Move,Giri Nagar,4 BHK,,2400,4,1,400,16667
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3,2,56,3825
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1200,2,2,55,4583
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Abncy R,1200,2,2,52,4333
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150,2,1,55,4783
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645,3,2,95,5775
Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,,1000,2,1,67,6700
Plot  Area,Ready To Move,Haralur Road,4 BHK,,2650,4,2,198,7472
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1192,2,2,74,6208
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,K borja,2135,3,2,215,10070
Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173,2,1,58,4945
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungspr,1020,2,2,45,4412
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6,2,230,7367
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,1600,3,3,64,4000
Plot  Area,18-Mar,T.C PALYA,2 BHK,,1200,2,0,79,6583
Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,,1230,2,3,48,3902
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Clntsrt,1250,2,2,40,3200
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1325,2,2,76,5736
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3,1,150,8108
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,,,21.53,4101
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,,1200,2,2,65,5417
Plot  Area,Ready To Move,Bull Temple Road,3 BHK,,1350,2,0,140,10370
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1260,3,1,49.36,3917
Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,Vancy R,1800,3,0,150,8333
Built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100,2,1,43.25,3932
Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1508,2,1,77,5106
Carpet  Area,Ready To Move,Sampigehalli,3 BHK,Puens G,1592,3,2,75,4711
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,1388,2,3,57,4107
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,630,1,1,28.35,4500
Plot  Area,Ready To Move,RMV,3 BHK,,2000,3,2,365,18250
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,,1762,3,1,125,7094
Super built-up  Area,21-Dec,Bagalur Main Road,2 BHK,,950,2,2,50,5263
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3252,5,3,335,10301
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,1116,2,1,50,4480
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308,2,2,89.04,6807
Super built-up  Area,Ready To Move,MS Pallya,3 BHK,,1200,3,0,90,7500
Plot  Area,Ready To Move,Binny Mills Employees Colony,4 BHK,,1500,4,2,230,15333
Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,,500,1,1,18.5,3700
Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1075,2,1,52,4837
Super built-up  Area,18-Mar,Chandapura,1 BHK,Siissi ,530,1,0,11.66,2200
Built-up  Area,Ready To Move,Bellandur,2 BHK,,1205,2,3,66,5477
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075,2,2,60,5581
Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,930,2,2,39,4194
Super built-up  Area,Ready To Move,Balagere,2 BHK,Exncene,1380,2,1,60,4348
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,5,2,212,8538
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1166,2,2,55,4717
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,NadelCi,1050,2,1,65,6190
Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2023.71,3,2,275,13589
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,46.8,3900
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,Puarent,1600,2,1,108,6750
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,MaionPa,1935,3,2,110,5685
Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,Maian M,451,1,0,29.9,6630
Super built-up  Area,Ready To Move,Electronic City,3 BHK,ShstaAl,1800,3,2,95,5278
Super built-up  Area,18-May,Jalahalli,3 BHK,Shard T,1400,3,0,77,5500
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1801,3,2,115,6385
Built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neagar ,1451,2,,90,6203
Plot  Area,19-Jan,Anekal,2 BHK,,1200,1,1,36,3000
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2,2,44,3793
Built-up  Area,Ready To Move,Kengeri,2 BHK,,1000,2,1,25,2500
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2,1,40,4211
Built-up  Area,20-Dec,"Hoodi Circle, ",3 BHK,,1629,3,2,79,4850
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,,1580,2,0,134,8481
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1826,3,2,121,6627
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Eladero,1245,2,1,94,7550
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,1145,2,2,45.79,3999
Super built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,825,2,1,33,4000
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,Aroomba,1693,3,3,108,6379
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Courf T,1113.27,2,2,53,4761
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,VMowsea,1460,2,1,58,3973
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,S onsMa,1050,2,1,32,3048
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Tuentpa,1260,2,2,55,4365
Super built-up  Area,Ready To Move,K N Extension,6 BHK,,700,3,,120,17143
Built-up  Area,Ready To Move,Hosur Road,2 BHK,Tovesee,1656,2,1,120,7246
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Vailsaf,1208,3,1,45,3725
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,1910,3,2,161,8429
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Haestt ,3252,4,1,230,7073
Plot  Area,Ready To Move,Battarahalli,2 BHK,,1200,2,1,65,5417
Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,,1200,4,1,175,14583
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175,2,1,82,6979
Plot  Area,Ready To Move,Kamakshipalya,2 BHK,,1000,2,0,165,16500
Plot  Area,Ready To Move,Bannerghatta Road,4 BHK,,1200,2,0,125,10417
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3,2,410,17155
Super built-up  Area,19-Jan,Rajaji Nagar,7 BHK,,12000,6,3,2200,18333
Plot  Area,Ready To Move,Sultan Palaya,2 BHK,,550,1,1,62,11273
Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,Hoxiaa ,1185,2,,38,3207
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2,1,38,5067
Plot  Area,Ready To Move,Mahalakshmi Layout,6 BHK,,1200,7,3,250,20833
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3,3,64.5,4161
Built-up  Area,Ready To Move,Amco Colony,3 BHK,Hoeatan,1760,3,2,88,5000
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Asity S,1125,2,2,62,5511
Plot  Area,Ready To Move,Nagarbhavi,3 BHK,,1350,3,2,150,11111
Plot  Area,17-Dec,Anandapura,2 BHK,,1000,2,1,55,5500
Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,,1090,2,2,31.48,2888
Plot  Area,Ready To Move,TC Palaya,2 BHK,,1200,2,0,60,5000
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4,2,103,5173
Super built-up  Area,18-Oct,Bommasandra,2 BHK,DSoodil,1060,2,1,26.5,2500
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJarkte,1105,2,1,75,6787
Built-up  Area,Ready To Move,Hoodi,2 BHK,Dhgraas,985,2,2,67,6802
Plot  Area,Ready To Move,Chandapura,6 BHK,,1533,5,3,85,5545
Super built-up  Area,17-Jul,Balagere,3 BHK,HiqueMa,1590,3,2,79,4969
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1120,2,2,55,4911
Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1069,2,1,55,5145
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,1933,3,2,140,7243
Built-up  Area,16-Mar,Hosur Road,2 BHK,PuendWe,1194,2,0,69,5779
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Danna S,1150,2,3,69,6000
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,,1240,2,2,47.12,3800
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419,2,2,48.1,3390
Plot  Area,Ready To Move,7th Phase JP Nagar,8 BHK,,1200,8,,250,20833
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,Bltonin,2150,4,,240,11163
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,MSanaer,1450,3,2,55,3793
Super built-up  Area,18-Jul,Udayapur Village,3 BHK,Plowsri,1630,3,2,68.29,4190
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,708,1,1,40,5650
Plot  Area,Ready To Move,Kasavanhalli,3 BHK,,1000,4,3,110,11000
Plot  Area,Ready To Move,Whitefield,4 BHK,,11890,4,3,700,5887
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Ocavees,1250,2,1,76,6080
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1400,2,1,95,6786
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1670,2,3,57,3413
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1750,3,2,100,5714
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2,1,71,5057
Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,1715,2,2,95,5539
Built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,630,1,1,34.65,5500
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3,2,135,7705
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,,1650,3,2,78,4727
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2,1,55.47,4283
Plot  Area,Ready To Move,Giri Nagar,3 BHK,Bancyri,1800,3,2,252,14000
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,PualeSk,1346,2,1,74.03,5500
Plot  Area,Ready To Move,Thippasandra,4 BHK,,1200,4,2,200,16667
Super built-up  Area,Ready To Move,Hormavu,2 BHK,ElavuHo,1150,2,2,55,4783
Built-up  Area,Ready To Move,Chikkabidarakallu,4 BHK,Gontyol,3309,4,3,325,9822
Super built-up  Area,18-May,Chandapura,3 BHK,SunceEs,1190,2,2,30.35,2550
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,DSutyng,1620,3,2,98,6049
Super built-up  Area,18-Apr,Marathahalli,2 BHK,,950,2,1,46.96,4943
Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,Bancyri,5000,9,3,360,7200
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,2450,3,0,120,4898
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,1220,2,1,35.23,2888
Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,RKntsrt,850,2,1,30,3529
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,,1020,2,2,63,6176
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1100,2,2,50,4545
Super built-up  Area,Ready To Move,Defence Colony,2 BHK,Vantspa,1150,2,2,126,10957
Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1760,2,2,130,7386
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,,1800,3,3,110,6111
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1070,2,1,54,5047
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 BHK,,1500,4,2,220,14667
Plot  Area,Ready To Move,Vidyaranyapura,2 BHK,,1440,2,0,95,6597
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Prowsi ,900,2,1,40,4444
Built-up  Area,Ready To Move,ITI Employees Layout,4 BHK,,1200,4,1,230,19167
Super built-up  Area,18-May,Whitefield,2 BHK,SMuilan,1130,2,1,42.16,3731
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2,1,165,12500
Super built-up  Area,19-Jun,Kodigehalli,2 BHK,,1270,2,1,98,7717
Built-up  Area,Ready To Move,Patelappa Layout,2 BHK,Sryamar,1200,2,1,62,5167
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4 BHK,,4800,4,,235,4896
Super built-up  Area,Ready To Move,NS Palya,2 BHK,,1200,2,1,74,6167
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2,0,50.17,5400
Built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,LiaveEn,1150,4,2,260,22609
Plot  Area,Ready To Move,Basavangudi,4 BHK,,1125,4,3,180,16000
Plot  Area,Ready To Move,Kenchenahalli,5 BHK,,500,3,2,65,13000
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 BHK,Bemesrm,1200,5,2,190,15833
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,1464,3,2,56,3825
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,,3600,4,3,400,11111
Plot  Area,Ready To Move,Bank Avenue,4 BHK,,2000,4,2,99,4950
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1208,2,1,49,4056
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,Vrensn ,1130,2,2,60,5310
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,VDdonel,1753,3,2,120,6845
Super built-up  Area,Ready To Move,Old Madras Road,5 BHK,Brica E,4500,7,3,337,7489
Plot  Area,Ready To Move,Banjara Layout,3 BHK,,600,3,2,58,9667
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1196,2,2,94.42,7895
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Prenty ,1150,3,3,52.5,4565
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,63,5585
Super built-up  Area,Ready To Move,Omkar Nagar,2 BHK,Shinei ,1000,2,1,53,5300
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Apows M,1035,2,1,45,4348
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,,950,2,1,32,3368
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,36,3349
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SVineun,1040,2,1,48.5,4663
Plot  Area,17-Oct,Maragondanahalli,2 BHK,,720,2,1,45,6250
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1511,3,1,95,6287
Built-up  Area,Ready To Move,Silk Board,3 BHK,,1300,3,1,58,4462
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1545,3,1,68.75,4450
Built-up  Area,Ready To Move,Shampura,1 BHK,,375,2,0,26,6933
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,,1062,2,3,38,3578
Super built-up  Area,Ready To Move,Kada Agrahara,2 BHK,,1115,2,1,40,3587
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,DSvvyx ,1000,2,1,35,3500
Super built-up  Area,17-May,Kambipura,2 BHK,Prrtht ,883,2,1,45,5096
Super built-up  Area,19-Apr,Sarjapur  Road,2 BHK,Brareio,1195,2,1,70,5858
Plot  Area,Ready To Move,BHEL Layout,4 BHK,,1200,3,1,165,13750
Built-up  Area,Ready To Move,Medahalli,1 BHK,,700,1,0,41,5857
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2,1,67,5377
Plot  Area,Ready To Move,8th Phase JP Nagar,4 BHK,,660,4,2,90,13636
Plot  Area,Ready To Move,Banashankari Stage III,4 BHK,,8500,4,2,145,1706
Super built-up  Area,Ready To Move,Kashi Nagar,4 BHK,,1600,4,1,80,5000
Super built-up  Area,18-Dec,Haralur Road,4 BHK,SNnia E,2805,5,3,154,5490
Super built-up  Area,Ready To Move,Begur Road,3 BHK,,1584,3,,65,4104
Plot  Area,Ready To Move,Sector 7 HSR Layout,4 BHK,,3000,5,1,275,9167
Built-up  Area,Ready To Move,Hosur Road,3 BHK,,1175,2,2,48,4085
Built-up  Area,19-Jul,"Yemlur, Old Airport Road, ",3 BHK,,1595,3,2,115,7210
Super built-up  Area,Ready To Move,VHBCS Layout,2 BHK,OlarkLa,1353,2,2,110,8130
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1599,3,2,125,7817
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SuMTBPr,1150,2,1,70,6087
Super built-up  Area,17-Dec,Jakkur,4 BHK,Lecco C,5230,6,1,465,8891
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Jahidva,1155,2,2,42.74,3700
Built-up  Area,Ready To Move,Ittamadu,1 BHK,,1200,2,0,85,7083
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,,1000,2,1,25,2500
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,,3000,4,,120,4000
Built-up  Area,Ready To Move,Rajiv Nagar,3 BHK,PuoodSk,1867,3,1,160,8570
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,ViistLa,1251,2,1,47,3757
Super built-up  Area,18-Apr,Gattahalli,2 BHK,Arano M,1028,2,1,45.5,4426
Super built-up  Area,Ready To Move,Arekere,2 BHK,Amngsag,1222,2,2,45,3682
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1170,2,1,66,5641
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Kacesh ,2400,4,1,245,10208
Super built-up  Area,Ready To Move,Ramanjaneyanagar,3 BHK,,1385,2,2,48.48,3500
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SrisePo,1372,2,1,68,4956
Super built-up  Area,Ready To Move,Magadi Road,3 BHK,Bilya A,1282,2,2,49,3822
Super built-up  Area,Ready To Move,Mico Layout,9 BHK,Amsomun,5000,9,3,210,4200
Built-up  Area,Ready To Move,7th Block Jayanagar,5 BHK,,3000,3,1,528,17600
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shdhia ,1135,2,1,39.73,3500
Built-up  Area,20-Dec,Whitefield,3 BHK,,1768,3,2,101,5713
Built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Foconna,1325,2,1,90,6792
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1599,3,2,99,6191
Plot  Area,18-Mar,Whitefield,3 BHK,,1500,3,1,61.95,4130
Plot  Area,Ready To Move,2nd Phase JP Nagar,3 BHK,,2610,3,0,499,19119
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1286,2,2,63,4899
Built-up  Area,Ready To Move,Kammanahalli,5 BHK,,2845,5,1,140,4921
Super built-up  Area,Ready To Move,K G Colony,3 BHK,Aincy R,1600,2,,50,3125
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Brium C,3450,5,2,260,7536
Super built-up  Area,18-Apr,Munnekollal,2 BHK,Sadhii ,1102,2,2,53.67,4870
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Sahanra,1350,2,2,54,4000
Super built-up  Area,Ready To Move,Banashankari,3 BHK,,1200,2,2,42,3500
Plot  Area,Ready To Move,Hosa Road,6 BHK,,1300,6,0,145,11154
Plot  Area,Ready To Move,Herohalli,2 BHK,,1800,1,1,80,4444
Built-up  Area,Ready To Move,Chikkabanavar,2 BHK,,950,2,1,40,4211
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1,1,27.25,5190
Built-up  Area,Ready To Move,Attibele,2 BHK,Jae 2hu,656,2,1,25,3811
Plot  Area,Ready To Move,Marathahalli,4 BHK,,1780,4,3,175,9831
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,Icncy R,1056,2,1,80,7576
Super built-up  Area,21-Feb,Bannerghatta Road,1 BHK,Hiatei ,595,1,1,33.32,5600
Built-up  Area,Ready To Move,Ittamadu,2 BHK,,1080,2,2,50,4630
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,Puarero,2225,3,1,160,7191
Super built-up  Area,18-Aug,Bommasandra,2 BHK,DSoodil,1126,2,1,28.15,2500
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490,3,1,84,5638
Plot  Area,Ready To Move,HRBR Layout,4 BHK,,2000,4,1,300,15000
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,PuineSu,1550,3,3,100,6452
Built-up  Area,Ready To Move,Ashwini layout,2 BHK,,1160,2,1,55,4741
Built-up  Area,Ready To Move,Whitefield,4 BHK,PrOakSi,4144,4,3,315,7601
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Supleon,2100,3,2,125,5952
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2,1,69.3,4936
Plot  Area,Ready To Move,Sarjapur  Road,4 BHK,LGestbo,2230,4,3,225,10090
Super built-up  Area,Ready To Move,Marathalli bridge,3 BHK,,1544,3,,120,7772
Super built-up  Area,18-May,Banashankari Stage III,3 BHK,Pridsi ,1305,2,1,58.7,4498
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aahts H,1230,2,2,80,6504
Plot  Area,Ready To Move,T.C PALYA,2 BHK,,1200,2,0,65,5417
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1460,3,1,73,5000
Built-up  Area,Ready To Move,Gottigere,2 BHK,,967,2,3,45,4654
Built-up  Area,Ready To Move,Byatarayanapura,1 BHK,,540,1,1,36,6667
Super built-up  Area,19-Dec,Hormavu,1 BHK,Kolisl ,715,1,2,46,6434
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Toindls,2500,3,2,313,12520
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,1578,3,1,180,11407
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,,1020,2,1,48.95,4799
Super built-up  Area,Ready To Move,Jigani,2 BHK,i1odsne,1020,2,1,40,3922
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Ansna K,1253,2,1,102,8140
Super built-up  Area,Ready To Move,JCR Layout,2 BHK,ARnamru,1180,2,2,42,3559
Super built-up  Area,Ready To Move,Nehru Nagar,2 BHK,Veyalin,961,2,2,38,3954
Built-up  Area,Ready To Move,Kanakapura,3 BHK,,1419,3,3,75,5285
Super built-up  Area,Ready To Move,Harlur,3 BHK,SomonCi,1709,3,2,150,8777
Plot  Area,Ready To Move,Papareddipalya,2 BHK,,1600,2,0,115,7188
Super built-up  Area,18-Jul,Venkatapura,1 BHK,,416,1,1,18.5,4447
Carpet  Area,Ready To Move,Sanjay nagar,2 BHK,,1100,2,2,98,8909
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,,1430,2,1,65,4545
Super built-up  Area,Ready To Move,Sneha Colony,2 BHK,Daill S,1260,2,2,45,3571
Built-up  Area,Ready To Move,RMV Extension,3 BHK,DSureSi,1630,3,2,85,5215
Super built-up  Area,19-May,Sarjapur  Road,3 BHK,Soini T,1249,3,2,44.71,3580
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,MancyRe,1450,2,3,85,5862
Super built-up  Area,17-Nov,Konanakunte,3 BHK,Prasa W,2791,3,1,223,7990
Super built-up  Area,Ready To Move,Hosapalya,1 BHK,,600,1,0,90,15000
Built-up  Area,Ready To Move,Ashwini layout,1 BHK,Kaantth,834,1,1,60,7194
Plot  Area,Ready To Move,Doddagubbi,3 BHK,,1125,4,1,70,6222
Super built-up  Area,Ready To Move,Arekere,3 BHK,,2060,3,2,140,6796
Super built-up  Area,19-Jan,Malleshwaram,7 BHK,,12000,7,3,2200,18333
Built-up  Area,Ready To Move,Gottigere,2 BHK,Drente ,891,2,1,25,2806
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1133,2,1,49.07,4331
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,37,3442
Super built-up  Area,18-May,Sector 6 HSR Layout,4 BHK,,3000,5,2,260,8667
Plot  Area,Ready To Move,Brookefield,4 BHK,,2440,5,2,425,17418
